ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202021,PG1E00300P,SCUOLA PRIMARIA,4,1,12,7
202021,NA1E12000B,SCUOLA PRIMARIA,2,1,2,3
202021,CA1E01000G,SCUOLA PRIMARIA,1,1,9,11
202021,SATL16500Q,SCUOLA SECONDARIA II GRADO,4,1,2,0
202021,CT1E02600T,SCUOLA PRIMARIA,4,1,4,2
202021,NA1E218008,SCUOLA PRIMARIA,2,1,9,9
202021,NA1E26500T,SCUOLA PRIMARIA,4,1,8,8
202021,RMPL355003,SCUOLA SECONDARIA II GRADO,4,1,3,4
202021,PA1E02300V,SCUOLA PRIMARIA,5,1,2,6
202021,CN1E001003,SCUOLA PRIMARIA,4,1,12,6
202021,PD1E012008,SCUOLA PRIMARIA,5,2,17,22
202021,RM1E07000E,SCUOLA PRIMARIA,1,2,16,12
202021,RM1E08300L,SCUOLA PRIMARIA,5,3,29,24
202021,CRPS00500B,SCUOLA SECONDARIA II GRADO,2,1,5,3
202021,PD1M01000T,SCUOLA SECONDARIA I GRADO,1,3,29,45
202021,RE1M00400V,SCUOLA SECONDARIA I GRADO,3,3,28,27
202021,RM1E14600E,SCUOLA PRIMARIA,5,1,9,6
202021,PR1E00300Q,SCUOLA PRIMARIA,1,1,10,10
202021,NA1E07700A,SCUOLA PRIMARIA,5,1,9,10
202021,VEPL01500T,SCUOLA SECONDARIA II GRADO,2,1,5,5
202021,BO1M01200E,SCUOLA SECONDARIA I GRADO,2,7,92,85
202021,NA1ESQ5001,SCUOLA PRIMARIA,3,1,0,1
202021,NA1E122003,SCUOLA PRIMARIA,2,1,15,7
202021,CA1E00900B,SCUOLA PRIMARIA,5,1,5,11
202021,RMPSP4500S,SCUOLA SECONDARIA II GRADO,1,1,0,1
202021,RM1E121006,SCUOLA PRIMARIA,5,2,24,24
202021,CTTF04500E,SCUOLA SECONDARIA II GRADO,2,1,1,0
202021,COPST4500P,SCUOLA SECONDARIA II GRADO,4,1,6,4
202021,CE1E05500G,SCUOLA PRIMARIA,7,1,1,3
202021,CT1M00700N,SCUOLA SECONDARIA I GRADO,3,1,8,3
202021,CE1E029003,SCUOLA PRIMARIA,2,1,6,2
202021,PS1E00500V,SCUOLA PRIMARIA,4,1,16,7
202021,CTTD92500V,SCUOLA SECONDARIA II GRADO,2,1,3,0
202021,VIPLVN5005,SCUOLA SECONDARIA II GRADO,4,1,3,11
202021,RE1E006009,SCUOLA PRIMARIA,4,1,8,14
202021,LT1E00400C,SCUOLA PRIMARIA,4,1,12,16
202021,CHPMVZ5007,SCUOLA SECONDARIA II GRADO,3,1,1,0
202021,NA1E09800B,SCUOLA PRIMARIA,4,1,3,7
202021,NA1M008005,SCUOLA SECONDARIA I GRADO,1,2,15,5
202021,NATDFO5000,SCUOLA SECONDARIA II GRADO,4,1,2,2
202021,RA1M001001,SCUOLA SECONDARIA I GRADO,2,1,12,8
202021,TOPLRN500U,SCUOLA SECONDARIA II GRADO,1,1,1,4
202021,APTFZ6500L,SCUOLA SECONDARIA II GRADO,4,1,2,0
202021,CTTN01500A,SCUOLA SECONDARIA II GRADO,3,1,1,0
202021,MB1M018003,SCUOLA SECONDARIA I GRADO,3,3,41,40
202021,VR1E016009,SCUOLA PRIMARIA,4,1,0,13
202021,BG1M002002,SCUOLA SECONDARIA I GRADO,3,2,28,11
202021,BSTF4M5001,SCUOLA SECONDARIA II GRADO,5,1,5,1
202021,NA1MIM5003,SCUOLA SECONDARIA I GRADO,2,1,8,5
202021,LI1E00900L,SCUOLA PRIMARIA,1,1,15,10
202021,TOPM085002,SCUOLA SECONDARIA II GRADO,2,1,3,5
202021,RGPM05500B,SCUOLA SECONDARIA II GRADO,4,1,1,3
202021,NARH065003,SCUOLA SECONDARIA II GRADO,5,2,31,27
202021,CTPC01500D,SCUOLA SECONDARIA II GRADO,3,1,4,5
202021,NA1E18200P,SCUOLA PRIMARIA,3,2,15,25
202021,RM1E04600N,SCUOLA PRIMARIA,3,1,11,8
202021,FI1M01800G,SCUOLA SECONDARIA I GRADO,1,1,12,5
202021,TO1E01900R,SCUOLA PRIMARIA,3,1,2,20
202021,SARFTV500I,SCUOLA SECONDARIA II GRADO,5,2,23,36
202021,BG1E026009,SCUOLA PRIMARIA,3,1,6,8
202021,BSRF06500X,SCUOLA SECONDARIA II GRADO,1,1,4,15
202021,MO1M001002,SCUOLA SECONDARIA I GRADO,1,1,11,8
202021,CERH4F500L,SCUOLA SECONDARIA II GRADO,3,1,8,1
202021,PCPM79500U,SCUOLA SECONDARIA II GRADO,3,1,6,11
202021,RMPS97500P,SCUOLA SECONDARIA II GRADO,2,1,17,3
202021,PZ1E00100B,SCUOLA PRIMARIA,5,1,5,7
202021,NATD255008,SCUOLA SECONDARIA II GRADO,5,7,151,84
202021,LI1E00400D,SCUOLA PRIMARIA,2,1,11,12
202021,UD1E00900V,SCUOLA PRIMARIA,4,1,9,5
202021,RM1E113007,SCUOLA PRIMARIA,3,1,6,9
202021,MB1E07100P,SCUOLA PRIMARIA,4,1,11,12
202021,VRPM055006,SCUOLA SECONDARIA II GRADO,2,1,11,17
202021,VIPS01500A,SCUOLA SECONDARIA II GRADO,5,3,16,10
202021,BRTD04500A,SCUOLA SECONDARIA II GRADO,3,1,2,1
202021,NA1EAN500C,SCUOLA PRIMARIA,3,1,9,12
202021,CERHFI5007,SCUOLA SECONDARIA II GRADO,4,2,18,8
202021,LISL00500B,SCUOLA SECONDARIA II GRADO,2,1,3,5
202021,NARI11500A,SCUOLA SECONDARIA II GRADO,4,1,4,2
202021,BGTFUM500Z,SCUOLA SECONDARIA II GRADO,1,1,4,0
202021,BGPSL2500D,SCUOLA SECONDARIA II GRADO,3,1,7,8
202021,AGPSFG5009,SCUOLA SECONDARIA II GRADO,4,1,3,0
202021,CTPM415005,SCUOLA SECONDARIA II GRADO,5,1,6,7
202021,CLPC025003,SCUOLA SECONDARIA II GRADO,4,1,2,5
202021,SARF6Q5004,SCUOLA SECONDARIA II GRADO,4,1,1,0
202021,GE1M027007,SCUOLA SECONDARIA I GRADO,2,2,15,15
202021,SARH8B5007,SCUOLA SECONDARIA II GRADO,2,1,5,6
202021,NATHA4500E,SCUOLA SECONDARIA II GRADO,3,1,12,0
202021,PGPM02500T,SCUOLA SECONDARIA II GRADO,4,1,5,9
202021,MBPSFH500F,SCUOLA SECONDARIA II GRADO,3,1,18,11
202021,PERFNA5005,SCUOLA SECONDARIA II GRADO,4,1,0,1
202021,NA1E119007,SCUOLA PRIMARIA,5,2,9,12
202021,RM1E006007,SCUOLA PRIMARIA,4,2,17,19
202021,ME1E00400Q,SCUOLA PRIMARIA,4,1,8,4
202021,FG1E02500R,SCUOLA PRIMARIA,2,1,9,12
202021,LC1M020004,SCUOLA SECONDARIA I GRADO,2,1,8,9
202021,MCPSL3500U,SCUOLA SECONDARIA II GRADO,5,1,10,1
202021,RM1E09100G,SCUOLA PRIMARIA,5,1,17,9
202021,AVTF6H500N,SCUOLA SECONDARIA II GRADO,4,1,0,4
202021,VRTN01500C,SCUOLA SECONDARIA II GRADO,2,1,3,15
202021,VRPS025009,SCUOLA SECONDARIA II GRADO,5,2,33,18
202021,VAPSZC500T,SCUOLA SECONDARIA II GRADO,2,2,24,8
202021,FO1E00400N,SCUOLA PRIMARIA,1,2,20,27
202021,MI1M10000T,SCUOLA SECONDARIA I GRADO,3,1,2,6
202021,PR1E00800V,SCUOLA PRIMARIA,1,1,11,9
202021,BOPS525001,SCUOLA SECONDARIA II GRADO,3,1,13,13
202021,NA1E18300E,SCUOLA PRIMARIA,4,2,15,16
202021,RMPM195002,SCUOLA SECONDARIA II GRADO,4,1,4,14
202021,MI1E03000G,SCUOLA PRIMARIA,1,1,6,17
202021,VR1M02400D,SCUOLA SECONDARIA I GRADO,3,3,34,25
202021,PVTBDH500G,SCUOLA SECONDARIA II GRADO,5,1,5,0
202021,FG1E01200P,SCUOLA PRIMARIA,5,1,10,9
202021,SATFTL5007,SCUOLA SECONDARIA II GRADO,5,2,62,7
202021,MIPMEO500H,SCUOLA SECONDARIA II GRADO,2,1,1,31
202021,SA1E012002,SCUOLA PRIMARIA,4,1,8,6
202021,NA1E25100X,SCUOLA PRIMARIA,1,1,12,13
202021,SATDD75001,SCUOLA SECONDARIA II GRADO,3,1,2,3
202021,VAPL06500C,SCUOLA SECONDARIA II GRADO,4,1,4,2
202021,RMPMPL5008,SCUOLA SECONDARIA II GRADO,3,1,8,3
202021,RMTD545007,SCUOLA SECONDARIA II GRADO,3,3,7,5
202021,MI1E033003,SCUOLA PRIMARIA,2,1,9,6
202021,RM1M09800G,SCUOLA SECONDARIA I GRADO,1,1,8,5
202021,MITF105003,SCUOLA SECONDARIA II GRADO,3,1,16,11
